Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/2/2023 15:26,Mote04,qGEKNDBFiQo=,905300000,125,7,4/5,-65,10.5,10,69.03,24.81,0,13654,1
2/2/2023 15:26,Mote01,qGEKMzVBjAY=,905300000,125,7,4/5,-77,12,10,69.01,25.18,0,14169,1
2/2/2023 15:26,Mote03,qGEKNDQkZg8=,904900000,125,5,4/5,-71,11.5,10,68.9,27.01,0,14308,1
2/2/2023 15:26,Mote05,qGEKMzA3fwE=,904100000,125,1,4/5,-69,9,10,69.1,25.63,0,154,1
2/2/2023 15:26,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-63,12.8,10,68.54,27.24,0,12296,1
2/2/2023 15:27,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-78,10,10,69.04,25.22,0,14170,1
2/2/2023 15:27,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-64,12,10,69.04,24.89,0,13655,1
2/2/2023 15:27,Mote05,qGEKMzA3fwE=,904900000,125,5,4/5,-66,10,10,69.12,25.67,0,155,1
2/2/2023 15:27,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-64,8.8,10,68.9,27.1,0,14309,1
2/2/2023 15:28,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-65,9.8,10,69.12,25.76,0,156,1
2/2/2023 15:28,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-63,12,10,69.06,24.95,0,13656,1
2/2/2023 15:28,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-70,12,10,68.94,27.21,0,14310,1
2/2/2023 15:29,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-61,8.5,10,68.56,27.37,0,12298,1
2/2/2023 15:29,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-63,10,10,69.19,25.76,0,157,1
2/2/2023 15:29,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-63,12.8,10,68.59,27.29,0,12299,1
2/2/2023 15:30,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-60,10.5,10,69.08,24.95,0,13658,1
2/2/2023 15:30,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-75,10.5,10,69.06,25.28,0,14173,1
2/2/2023 15:30,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-65,11,10,69.19,25.63,0,158,1
2/2/2023 15:30,Mote02,qGEKNDExiAs=,905300000,125,7,4/5,-65,10,10,68.59,27.12,0,12300,1
2/2/2023 15:31,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-60,10,10,69.1,24.89,0,13659,1
2/2/2023 15:31,Mote01,qGEKMzVBjAY=,904100000,125,1,4/5,-83,11.5,10,69.04,25.21,0,14174,1
2/2/2023 15:32,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-83,12.8,10,68.99,25.11,0,14175,1
2/2/2023 15:32,Mote05,qGEKMzA3fwE=,905300000,125,7,4/5,-69,8.5,10,69.13,25.45,0,160,1
2/2/2023 15:32,Mote03,qGEKNDQkZg8=,905300000,125,7,4/5,-70,12.5,10,69.01,26.83,0,14314,1
